Calculated SalePrice,Id,Original Saleprice
212213.713798,1,208500
163847.445702,2,181500
208276.298858,3,223500
156998.630243,4,140000
271937.392063,5,250000
133311.090464,6,143000
311021.352024,7,307000
233265.363341,8,200000
139179.273633,9,129900
116142.696656,10,118000
125719.1917,11,129500
345043.496879,12,345000
132698.920988,13,144000
201847.832372,14,279500
141090.919355,15,157000
184419.257284,16,132000
141390.799963,17,149000
100243.305024,18,90000
161396.211891,19,159000
139575.501839,20,139000
323274.815993,21,325300
147500.073039,22,139400
224421.188666,23,230000
127047.709399,24,129900
132462.191011,25,154000
281917.683681,26,256300
122628.827134,27,134800
295803.022065,28,306000
196576.513156,29,207500
73479.597295,30,68500
94144.4339844,31,40000
148082.866552,32,149350
180178.596943,33,179900
164842.663818,34,165500
289385.153684,35,277500
328482.171965,36,309000
147200.42378,37,145000
152036.149069,38,153000
116262.070247,39,109000
80249.1450924,40,82000
158326.156299,41,160000
159444.2117,42,170000
130222.433705,43,144000
112410.05797,44,130250
127339.15982,45,141000
293782.607992,46,319900
268902.299469,47,239686
273990.421634,48,249700
111077.68474,49,113000
113887.221661,50,127000
165480.292279,51,177000
120086.224933,52,114500
104334.243682,53,110000
384565.458987,54,385000
121334.875475,55,130000
172631.308417,56,180500
183527.497108,57,172500
207855.495561,58,196500
432388.016613,59,438780
118983.104438,60,124900
163681.011926,61,158000
98734.2615959,62,101000
204328.83321,63,202500
141855.018283,64,140000
231820.894198,65,219500
323298.480389,66,317000
201485.910171,67,180000
235001.372833,68,226000
72805.6799258,69,80000
247247.834728,70,225000
240905.862947,71,244000
110417.839542,72,129500
174157.202913,73,185000
130466.616962,74,144900
113298.158682,75,107400
86229.888705,76,91000
121766.722147,77,135750
132416.503844,78,127000
134151.716593,79,136500
100470.015176,80,110000
202669.213818,81,193500
148970.011791,82,153500
267330.610416,83,245000
135036.529717,84,126500
164363.679149,85,168500
275425.20975,86,260000
167386.961601,87,174000
127911.357402,88,164500
99631.395365,89,85000
117912.67369,90,123600
90917.1909322,91,109900
121052.563978,92,98600
120575.10504,93,163500
192930.930956,94,133900
196050.047606,95,204750
186844.743948,96,185000
232546.170396,97,214000
100374.457421,98,94750
92707.5236741,99,83000
124339.218999,100,128950
197771.078277,101,205000
168894.155668,102,178000
125928.58372,103,118964
184413.612626,104,198900
170276.589307,105,169500
255659.032637,106,250000
101297.002464,107,100000
111619.243197,108,115000
120555.313556,109,115000
187740.538534,110,190000
150075.113706,111,136900
173461.292799,112,180000
333457.387275,113,383970
208615.492043,114,217000
201596.683666,115,259500
169626.859932,116,176000
133131.044713,117,139000
147211.274789,118,155000
322391.300214,119,320000
170806.258141,120,163990
157502.947986,121,180000
101471.117982,122,100000
134600.040005,123,136000
158895.864856,124,153900
177454.2006,125,181000
98120.3332512,126,84500
135595.219557,127,128000
100906.628917,128,87000
133954.331842,129,155000
146605.966435,130,150000
225469.168064,131,226000
222277.052391,132,244000
148614.516413,133,150750
219836.427093,134,220000
168341.966789,135,180000
154672.434264,136,174000
146893.100163,137,143000
176796.523658,138,171000
252478.443572,139,230000
206704.497109,140,231500
110493.111935,141,115000
269604.800666,142,260000
151647.238802,143,166000
200445.790214,144,204000
146183.984743,145,125000
147229.249689,146,130000
103766.048289,147,105000
220559.484763,148,222500
142650.251598,149,141000
118110.461279,150,115000
117782.899161,151,122000
339031.067815,152,372402
191393.918182,153,190000
214452.253932,154,235000
135068.821075,155,125000
87756.1954042,156,79000
100980.552265,157,109500
261113.040468,158,269500
253084.508712,159,254900
330635.022578,160,320000
151487.210967,161,162500
408060.598256,162,412500
224054.747802,163,220000
99617.5775974,164,103200
156526.867766,165,152000
118451.929177,166,127500
176813.878154,167,190000
333925.444691,168,325624
187818.635287,169,183500
239327.850394,170,228000
145828.709113,171,128500
179238.635238,172,215000
199944.63028,173,239000
157555.554845,174,163000
181909.632129,175,184000
236516.391211,176,243000
205386.141813,177,211000
174315.588038,178,172500
422016.699049,179,501837
97679.2436387,180,100000
170765.671203,181,177000
175083.999722,182,200100
119830.221328,183,120000
214709.833973,184,200000
101733.387012,185,127000
468226.510169,186,475000
172795.650923,187,173000
126723.433261,188,135000
154262.037274,189,153337
274545.330429,190,286000
322754.287592,191,315000
168538.087274,192,184000
197070.475203,193,192000
164580.887829,194,130000
116214.756184,195,127000
152580.422384,196,148500
276334.795716,197,311872
280070.544028,198,235000
109300.078598,199,104000
282122.086889,200,274900
123458.391347,201,140000
164278.923516,202,171500
106986.913445,203,112000
130388.700568,204,149000
115113.556479,205,110000
173439.831084,206,180500
135435.058259,207,143900
128330.798356,208,141000
248412.494883,209,277000
139859.432489,210,145000
98072.5110266,211,98000
148658.973437,212,186000
236467.537693,213,252678
134696.216102,214,156000
157472.637195,215,161750
158054.000594,216,134450
200284.397666,217,210000
101470.839668,218,107000
285055.062272,219,311500
175733.39584,220,167240
211551.075538,221,204900
206800.935592,222,200000
161287.762486,223,179900
114004.280608,224,97000
392048.132552,225,386250
111944.223921,226,112000
289247.423239,227,290000
90937.8941299,228,106000
123617.382065,229,125000
176734.532889,230,192500
124156.473366,231,148000
389275.972478,232,403000
80081.1001407,233,94500
107478.487996,234,128200
208977.45814,235,216500
78582.9804118,236,89500
172391.503351,237,185500
183470.141766,238,194500
262536.827426,239,318000
118445.746124,240,113000
267231.569497,241,262500
102947.706818,242,110500
81312.023982,243,79000
116191.084763,244,120000
206818.184794,245,205000
196062.181531,246,241500
125300.017304,247,137000
151237.007353,248,140000
184366.906926,249,180000
273390.632757,250,277000
74823.0447926,251,76500
272507.839854,252,235000
168147.715182,253,173000
148470.464015,254,158000
134626.023445,255,145000
242584.488268,256,230000
197588.286365,257,207500
253218.828922,258,220000
223617.24117,259,231500
89326.7873781,260,97000
184168.320122,261,176000
347031.306912,262,276000
129156.508757,263,151000
105256.364494,264,130000
97628.4476453,265,73000
186163.380166,266,175500
179976.946577,267,185000
171653.465282,268,179500
119255.398481,269,120500
142688.489264,270,148000
282166.313982,271,266000
232241.147977,272,241500
278453.710326,273,290000
145820.468282,274,139000
113488.123299,275,124500
189763.030089,276,205000
209219.723534,277,201000
99889.0091973,278,141000
386006.255205,279,415298
217966.836057,280,192000
212166.347158,281,228500
182357.345692,282,185000
208679.349876,283,207500
276764.213363,284,244600
176014.976868,285,179200
196195.486862,286,164700
170582.623352,287,159000
96031.0434377,288,88000
109315.360779,289,122000
129694.121624,290,153575
238778.202598,291,233230
142658.797447,292,135900
149502.528279,293,131000
237778.996914,294,235000
167015.448156,295,167000
143628.152512,296,142500
163852.756406,297,152000
243282.785284,298,239000
167160.396135,299,175000
152424.119768,300,158500
154435.38139,301,157000
271369.788235,302,267000
223088.474513,303,205000
129796.083857,304,149900
294902.365486,305,295000
370179.615411,306,305900
231403.516876,307,225000
102074.013966,308,89500
99524.3992345,309,82500
360866.112096,310,360000
173075.616463,311,165600
125960.298068,312,132000
107356.218788,313,119900
256216.621327,314,375000
187572.627617,315,178000
187840.670165,316,188500
257734.233243,317,260000
286819.557339,318,270000
292603.951486,319,260000
226595.713891,320,187500
341456.21754,321,342643
345913.470137,322,354000
290193.011365,323,301000
117438.916668,324,126175
261908.170288,325,242000
101100.017714,326,87000
318562.476617,327,324000
152148.861032,328,145250
175266.97476,329,214500
84791.8997877,330,78000
