Calculated SalePrice,Id,Original Saleprice
293299.010567,1,208500
276796.86973,2,181500
281976.093639,3,223500
279748.580876,4,140000
311269.12342,5,250000
197112.067915,6,143000
531659.204566,7,307000
507497.91538,8,200000
280713.799507,9,129900
712218.096606,10,118000
261402.752865,11,129500
526890.319163,12,345000
299058.20047,13,144000
529002.627928,14,279500
187149.918091,15,157000
205826.093686,16,132000
247379.151999,17,149000
309788.926286,18,90000
516005.148664,19,159000
211774.507408,20,139000
325624.803404,21,325300
508862.907753,22,139400
296233.346644,23,230000
529863.874398,24,129900
224808.127735,25,154000
538787.931268,26,256300
278787.977316,27,134800
535018.351442,28,306000
314682.449391,29,207500
280504.20886,30,68500
446229.644413,31,40000
538179.000609,32,149350
304289.764861,33,179900
462038.695877,34,165500
337418.732073,35,277500
545512.589755,36,309000
525916.157067,37,145000
293519.644038,38,153000
275648.379391,39,109000
535809.269886,40,82000
204117.294608,41,160000
264651.649397,42,170000
210071.371562,43,144000
205536.228152,44,130250
266535.6746,45,141000
352849.408733,46,319900
288221.276016,47,239686
280582.940037,48,249700
525121.523733,49,113000
192115.727826,50,127000
291387.111002,51,177000
215609.297283,52,114500
291419.368425,53,110000
335874.541931,54,385000
202032.246693,55,130000
294070.769251,56,180500
304160.423434,57,172500
282721.921473,58,196500
308391.276095,59,438780
224273.843259,60,124900
256579.468225,61,158000
253843.047712,62,101000
520449.217819,63,202500
175044.092373,64,140000
251481.606543,65,219500
349088.244987,66,317000
268696.661756,67,180000
528939.82342,68,226000
542553.246556,69,80000
313203.588178,70,225000
277378.61801,71,244000
538534.904011,72,129500
293226.218367,73,185000
217087.991787,74,144900
276013.758374,75,107400
185840.525068,76,91000
263969.059735,77,135750
206026.984716,78,127000
358206.04631,79,136500
171932.551767,80,110000
546004.061005,81,193500
278027.073681,82,153500
526564.704126,83,245000
284235.252089,84,126500
279619.944858,85,168500
292654.477325,86,260000
284369.372779,87,174000
622863.501629,88,164500
341756.798273,89,85000
340903.508267,90,123600
250662.699501,91,109900
209810.297423,92,98600
261171.911671,93,163500
278483.393523,94,133900
292105.800813,95,204750
299888.320445,96,185000
250998.07699,97,214000
268869.06801,98,94750
272642.653196,99,83000
372049.754615,100,128950
268921.881004,101,205000
572084.401475,102,178000
537223.256563,103,118964
279128.129429,104,198900
542040.329375,105,169500
305236.794666,106,250000
259254.966403,107,100000
270177.210376,108,115000
325155.839226,109,115000
191984.790625,110,190000
294648.981684,111,136900
277284.52964,112,180000
535704.165015,113,383970
280143.83103,114,217000
212770.953592,115,259500
534327.686438,116,176000
266538.385305,117,139000
282458.537171,118,155000
301391.804907,119,320000
284978.396915,120,163990
284902.31282,121,180000
532399.873287,122,100000
526994.068717,123,136000
317671.082542,124,153900
297588.236798,125,181000
520030.99471,126,84500
278785.628301,127,128000
514749.358885,128,87000
279890.464371,129,155000
282535.231599,130,150000
254118.59381,131,226000
282629.147257,132,244000
297023.860232,133,150750
537876.783484,134,220000
202857.273264,135,180000
234530.373891,136,174000
291772.438034,137,143000
321269.12439,138,171000
256590.248943,139,230000
212382.311877,140,231500
357065.610965,141,115000
286355.942993,142,260000
531880.326155,143,166000
533949.493763,144,204000
325271.063721,145,125000
530192.904394,146,130000
293506.438913,147,105000
308293.085887,148,222500
374094.408365,149,141000
286699.630653,150,115000
210519.98196,151,122000
536672.242774,152,372402
535184.416972,153,190000
281580.902342,154,235000
275620.56224,155,125000
340727.938425,156,79000
536192.533383,157,109500
341705.571248,158,269500
263888.360748,159,254900
295994.69492,160,320000
527010.721059,161,162500
316896.46459,162,412500
289921.861896,163,220000
332476.965778,164,103200
279006.977884,165,152000
366570.774146,166,127500
228233.154238,167,190000
545117.336389,168,325624
282902.572719,169,183500
312798.665813,170,228000
295837.315167,171,128500
513740.979546,172,215000
739126.081302,173,239000
534360.698958,174,163000
524731.2559,175,184000
556511.37825,176,243000
317126.304853,177,211000
282758.843386,178,172500
534330.870965,179,501837
265911.954575,180,100000
537423.283984,181,177000
299718.968313,182,200100
523515.769132,183,120000
511635.642132,184,200000
536198.658301,185,127000
541171.410543,186,475000
522776.854156,187,173000
184551.825206,188,135000
619632.567791,189,153337
326957.670455,190,286000
517890.399424,191,315000
532005.555467,192,184000
289963.564577,193,192000
529517.944745,194,130000
278601.766427,195,127000
295858.045426,196,148500
555426.475223,197,311872
292154.975903,198,235000
377586.286899,199,104000
303583.891392,200,274900
275433.830051,201,140000
237156.552195,202,171500
296219.235779,203,112000
308432.160981,204,149000
250332.208667,205,110000
280133.083202,206,180500
278969.501396,207,143900
207676.68516,208,141000
266380.390832,209,277000
479836.379654,210,145000
334836.3482,211,98000
273529.680737,212,186000
304436.628774,213,252678
260691.424365,214,156000
174730.297324,215,161750
190384.849187,216,134450
280871.449187,217,210000
272652.549171,218,107000
286851.420172,219,311500
294042.191797,220,167240
289908.565407,221,204900
286325.275061,222,200000
222868.723923,223,179900
281946.663636,224,97000
571274.07456,225,386250
301244.949625,226,112000
531607.012484,227,290000
249996.499736,228,106000
182711.522457,229,125000
283496.019237,230,192500
267598.006108,231,148000
299253.067357,232,403000
541600.317426,233,94500
228667.40314,234,128200
325172.041867,235,216500
281138.446535,236,89500
273277.580119,237,185500
277665.836803,238,194500
326554.035654,239,318000
215475.265927,240,113000
516480.038024,241,262500
390862.382058,242,110500
284811.356917,243,79000
286092.162576,244,120000
289696.966718,245,205000
547817.959454,246,241500
288472.77446,247,137000
613843.611354,248,140000
278139.535648,249,180000
567801.16917,250,277000
369323.192204,251,76500
516314.769336,252,235000
292665.171929,253,173000
236121.187651,254,158000
533858.849449,255,145000
293471.464446,256,230000
294229.964749,257,207500
525699.929485,258,220000
280554.614283,259,231500
484673.27681,260,97000
204697.93,261,176000
558013.404141,262,276000
211087.376854,263,151000
282468.409615,264,130000
529118.946491,265,73000
548490.534419,266,175500
543504.221777,267,185000
279171.009515,268,179500
278804.555599,269,120500
187729.686003,270,148000
345379.959518,271,266000
270975.961686,272,241500
327255.805882,273,290000
202018.526133,274,139000
541327.732307,275,124500
294739.926179,276,205000
278247.766918,277,201000
524539.105294,278,141000
528406.238766,279,415298
309751.978012,280,192000
315891.702369,281,228500
520092.525074,282,185000
514369.742401,283,207500
534464.988873,284,244600
299166.738831,285,179200
530685.447048,286,164700
522832.930156,287,159000
542651.227088,288,88000
177005.541658,289,122000
265329.914881,290,153575
725438.738498,291,233230
333534.86022,292,135900
303705.767774,293,131000
285658.316443,294,235000
515161.871868,295,167000
209597.98058,296,142500
558156.869999,297,152000
553711.178649,298,239000
558726.757933,299,175000
251005.001063,300,158500
540283.981723,301,157000
292761.587626,302,267000
292622.163697,303,205000
214290.420693,304,149900
295848.388741,305,295000
540918.277626,306,305900
533113.092124,307,225000
347088.803728,308,89500
290886.934144,309,82500
297877.715848,310,360000
272269.150676,311,165600
260248.880332,312,132000
239440.739056,313,119900
631880.463352,314,375000
255917.873701,315,178000
289787.569056,316,188500
258011.505669,317,260000
334608.564496,318,270000
305423.323007,319,260000
536828.970663,320,187500
530929.352902,321,342643
553752.28275,322,354000
281739.432309,323,301000
282964.786469,324,126175
583953.889739,325,242000
275335.584096,326,87000
503176.048593,327,324000
263536.988253,328,145250
263527.246232,329,214500
199001.522146,330,78000
304720.915192,331,119000
267412.18923,332,139000
285162.195729,333,284000
539631.929861,334,207000
266795.232692,335,192000
280820.594433,336,228950
532545.235568,337,377426
300440.384363,338,214000
309388.182335,339,202500
532935.285133,340,155000
318504.594272,341,202900
246004.563186,342,82000
273814.334255,343,87500
347116.735972,344,266000
245882.923059,345,85000
278260.041372,346,140200
303801.421111,347,151500
246172.424665,348,157500
536868.359867,349,154000
301205.602173,350,437154
338917.963805,351,318061
307873.876765,352,190000
270700.191155,353,95000
277075.602635,354,105900
521678.703785,355,140000
250106.286098,356,177500
247687.002151,357,173000
209353.81283,358,134000
243359.33788,359,130000
539960.421056,360,280000
528012.063637,361,156000
264572.006807,362,145000
309729.192914,363,198500
303597.855817,364,118000
302088.687849,365,190000
275642.09569,366,147000
301883.111578,367,159000
275222.214787,368,165000
328628.644374,369,132000
301527.625767,370,162000
250312.811787,371,172400
281724.390571,372,134432
237622.02292,373,125000
227233.249194,374,123000
332646.424657,375,219500
354703.349408,376,61000
274534.237559,377,148000
315592.840999,378,340000
651970.345719,379,394432
526388.932759,380,179000
290660.564242,381,127000
312031.796755,382,187750
282292.668326,383,213500
283855.637134,384,76000
549270.965856,385,240000
346089.236163,386,192000
323580.478319,387,81000
207149.563802,388,125000
280809.124097,389,191000
540042.84938,390,426000
178032.164333,391,119000
536661.324475,392,215000
192575.782128,393,106500
356023.26763,394,100000
279984.631804,395,109000
540591.262888,396,129000
279401.726867,397,123000
268498.222282,398,169500
277133.364287,399,67000
511933.50066,400,241000
496514.595839,401,245500
346566.341456,402,164990
228330.567877,403,108000
311633.875577,404,258000
277289.632742,405,168000
523221.284637,406,150000
290074.337875,407,115000
265173.772614,408,177000
330173.888205,409,280000
547447.977947,410,339750
540152.331186,411,60000
281398.901692,412,145000
648127.262,413,222000
275480.312509,414,115000
300303.754297,415,228000
293956.565697,416,181134
300334.042458,417,149500
278302.91334,418,239000
290734.116367,419,126000
230806.473133,420,142000
260279.280363,421,206300
653748.717075,422,215000
